prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_token_time,draft_token_time,draft_target_latency_ratio
draft_target_interaction,80,baseline,hf,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,82,,,2.4333157539367676,33.698873591450415,,,,,0.0,2.4333157539367676,0.0,0.0,1.0,0.0,0.02967458236508253,,
draft_target_interaction,80,baseline,hf,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,128,,,3.7009148597717285,34.58604287046339,,,,,0.0,3.7009148597717285,0.0,0.0,1.0,0.0,0.02891339734196663,,
draft_target_interaction,80,baseline,manual,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,128,,,3.6636340618133545,34.9379872117045,,,,,0.0,3.6636340618133545,0.0,0.0,1.0,0.0,0.028622141107916832,,
draft_target_interaction,80,baseline,manual,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,128,,,3.6332192420959473,35.23046407905701,,,,,0.0,3.6332192420959473,0.0,0.0,1.0,0.0,0.028384525328874588,,
draft_target_interaction,80,baseline,manual,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,128,,,3.6726748943328857,34.851982188107684,,,,,0.0,3.6726748943328857,0.0,0.0,1.0,0.0,0.02869277261197567,,
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,1,,0.9,1.0,128,0.5542168674698795,0.5542168674698795,6.226178169250488,20.558358036099815,83,46,37,83,0.6558218002319336,2.3174827098846436,2.9367148876190186,0.10533296388318451,0.3722159319709323,0.4716721571063782,0.028566479682922363,0.007901467472673899,0.27659927160704934
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,1,,0.9,1.0,128,0.5609756097560976,0.5609756097560976,6.102826118469238,20.973889394067488,82,46,36,82,0.6363606452941895,2.263981342315674,2.884451389312744,0.1042731077276386,0.3709726114371983,0.4726419093907015,0.028566479682922363,0.007760495674319383,0.27166440389078705
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,1,,0.9,1.0,128,0.5542168674698795,0.5542168674698795,6.241339445114136,20.508418285148927,83,46,37,83,0.673182487487793,2.311008930206299,2.9402341842651367,0.10785865652841166,0.3702745140733228,0.47109025396252396,0.028566479682922363,0.008110632379371,0.28392131160003253
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,2,,0.9,1.0,128,0.41134751773049644,0.8169014084507042,6.159422159194946,20.781170163652163,141,58,49,71,1.099548578262329,2.211364507675171,2.4693970680236816,0.1785148914693068,0.35902142287389543,0.40091375525174894,0.028566479682922363,0.007798216867108717,0.27298487435855295
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,2,,0.9,1.0,128,0.3225806451612903,0.6410256410256411,6.801947355270386,18.81814035223621,155,50,61,78,1.2265465259552002,2.4098479747772217,2.7306461334228516,0.18032284901541162,0.3542879485696089,0.4014506421175183,0.028566479682922363,0.007913203393259356,0.2770100999875751
